musician_id,filename,event_count
1647,NOTRASH,9
2117,NOWhere_노웨어,13
3773,NP_UNION,4
6080,NS_Jazz_Band,1
2206,nukie,61
3797,NUNA,11
2691,Nusoul,1
2817,O.A.,3
3378,Oceans_Aflame,1
724,Ode,3
2497,Odieri,1
3537,Odokemono_JP,2
6428,OFUS_오퍼스,2
3410,Ohata_Yuichi,4
2588,OK_토끼,8
2692,Olltii,2
1813,OMAWARISAN,1
685,ON_SPARROW_HILLS,1
237,On_The_Spot,1
752,One_Hundred_Blossom_Club,9
4711,one_trick_ponies,3
4876,OO,1
2406,Oomori_Seiko,2
1982,OSHARE_Crew,1
3141,OTB,2
364,Outplay,1
2291,Owl_City,1
6311,P1S,3
3471,Pairs,2
399,PALOALTO,5
2671,Pamit,1
2343,PANJPN,1
1595,Pandaz_판다즈,43
1838,Paran_Band,1
4879,Part_Time_Cooks,1
6971,Pasha_Skornyakov_Quintet,1
2086,Payment_Band,2
3213,Peach_Bone,1
1920,Pegi,1
4997,pegurians,7
2378,Pelotan,1
1821,PETE_JUNG_BAND,1
1531,Peter_Knight,1
3189,Phero_D.A,1
3102,PI,21
1110,PICNIC_IN_THE_RAIN,7
5146,pilot_Ryu,1
1705,PINODYNE피노다인,2
2350,PlasticchocolateCHN,1
4073,play_lee,3
4691,PNS,3
3374,PNSB,1
2715,Point-UpJapan,1
1597,Polacostic_폴라코스틱,2
4887,POST,1
2057,Prazma,2
2840,Pregnant,1
2500,Primavera,2
2272,Prison_Murder_Gospel_Trio,1
1972,PRIZMOLIQ,2
2122,ProjectD,3
1684,PruRock_Band,1
2040,PS_I_LOVE_YOU,2
5010,Psych_ape,1
848,Psychics,2
1897,PSYCOBAN,2
1741,Pubaborn_family,1
4923,Publio_Delgado,1
1159,Pullingae,2
6731,pup,1
2004,Purgatorium,5
6479,Purple_Blue,1
1483,Putan,2
759,Q-Han,1
1274,QWALA,2
4690,R4-19,5
1495,Radiots,1
5503,Rafal_Sarnecki_Quartet,1
2688,Rainable,1
1620,Rainbow_Stage_레인보우스테이지,32
1927,RAMPAGE,7
7061,Randy_Johnston_Trio,1
3300,RatraB,1
4447,RE:bell,2
2496,Real_Lights,1
4925,reasco,2
244,REC,1
2556,Red_Cumulus레드_커뮬러스,11
2428,Red_Devil_Sunrise,1
2237,Red_Hot_Kimchi_Peppers,2
5351,Reeds,1
3429,RelowYoung_POT,1
2680,REUNION,1
6533,Richie_Kim_-_리치킴,7
2174,Rima_Kato,1
2652,Ripley_Tao,1
3176,Rita,1
2367,RMHN,5
2245,Rob_Roy,1
3130,Robscenity,3
2225,Rock_D.J_D0ZAD,3
1350,RockSnake,1
5008,RokiS,1
4724,roo,1
243,Room_335,1
1408,Rooster_Ride,7
1056,Root,9
5299,Round_A_Round,3
121,RRM,1
1774,RUBATO_루바토,1
1685,Rubber_Soul,2
3083,Rukh,9
2662,Run-x,10
3497,Ruth_Minnikin,1
2251,Ryan_Gerard,1
5324,S_Line,1
5070,S.A.B,2
3465,S5IN,1
4090,SáMiranda,1
2788,SABO,6
5557,SAM,1
2376,Samara_Lubelski,1
5175,Samba_Choir_알레그리아,2
617,SAPO,1
3133,Saram12Saram,1
5354,SARASU,1
7030,saron,1
2013,Sasquatch,10
1910,Satellite_City,1
266,Sato_Yukie,6
1648,SAVE_ROAD,2
4735,Say_U,1
1367,SAZA최우준,13
5244,Scarf_Down,1
1989,scomics,1
1275,SCOTCH_VIP,1
6095,Season2_Urban_Jam_Day,85
205,SEBASTIAN,0
1778,SEED,7
2572,Sehee,1
3566,sena,3
2443,Senan_Three,2
2612,sensitive,1
2429,Seoul_Mothers,17
6169,SF프로젝트밴드,1
1825,Shade_of_the_young,2
2738,showdown,1
5727,Shuji_Hata,1
5707,Shuji_Hata_and_Takashi_Kudo_Duo_with_korean_friends,2
2222,Sick-Boy,1
1311,Sidecar,15
2312,Sidecard,1
2088,Silent_Scenary_Malaysia,1
5620,Silvere_rhodes_X_Pigo,1
2849,sima_kim,10
510,simom,1
418,Simon,2
2502,Sina_Duo,1
2016,sina_trio,2
2271,Sinister,2
3275,Sink_to_rise,4
3428,Sio,1
4583,Siren_in_peace,1
4560,Skanking_Bunny,3
1949,Sleepstalker,1
3113,Slow_Dress,9
5947,Slur,1
2675,Smoking_Goose,3
80,Sok,7
484,SO-ME,0
3184,Sol,2
1438,Somah_Dat,1
5959,SOME,1
4165,Some_Old_Story,2
6192,Somnium,1
3637,sonia_yang,2
3427,Sora_Nacca_Toshi,1
4719,Soto_Gamba,1
3104,Sotto_Gamba,1
1580,Souls_over,2
1355,Soulman,4
2797,Sound1307VJ_DominoRenée_Kim,2
1426,Sountruck,86
3341,soup숲,46
3284,South_way,3
6604,SP_Band,1
1499,Spanish_Barrow_In_Guitar,1
5482,Special_Blues_Jam_Day,1
5507,Special_Urban_Jam_Day_with_Original_Host,2
3436,Spooky,1
2653,Square_Root,1
3538,Ssnoob,1
637,SSS,20
636,ST.Diary,3
1227,Staccato_Republic,2
1815,Starlight,2
2694,Stay_Dead,1
2785,STAY_FEVER,10
1128,STAY_THE_SAME,2
1981,STEP_Crew,1
6361,Steve_Pruitt_Jazz_quartet,2
3107,Stratovarius,1
447,Studs_Lonigan_Experience,9
6104,Stunit,2
4450,stupeo,2
1412,Suck_Stuff,3
4248,Sulsa,4
2419,Sultana,1
4204,SUNDRUM,3
2540,Sunny_day_escape,1
1530,Sunny_Kim,3
5259,Super_Jam_Day_-_윤석철trio,131
6546,Super_Jam_Day_Special,2
2433,Suzuki_Tsunekichi,2
2186,SV,10
2452,Sweet_Talk,1
246,Sync,1
5016,T-NAP,2
1673,T7,1
5744,Taal,1
2300,Take_One,3
1044,Tales_Blue,1
4723,Tampas_Dusk,3
3496,Tanqun,1
1237,tapper_유범상,1
1862,TD.B,1
5028,Team_Another_one,1
4578,Tell_and_Listen,1
3142,Ten_Years_Gone,2
3132,Tengger,11
6294,Tenyearsgon,1
405,Terromight,1
1009,TerrorMight,2
2730,TEST_BAND,1
2340,ThaitaniumTHA,1
4102,the_5ppas,10
2339,the_airplaneboysUSA,1
2293,The_Back_Horn,1
4883,The_Bastards_of_Bupyeong,1
5289,the_BIRD,7
4592,The_Bollands,2
2868,The_Breeze,8
6041,The_Clazz,1
1596,The_Cowchips_카우칩스,33
4558,The_Crescents,1
2635,The_Fabulous_Pendejos,1
4155,The_Fake_Place,2
934,The_Fast_Workers,5
577,The_Figure8,1
115,The_Finnn,3
3399,The_Fix,3
2455,The_Freaks,5
6186,The_Geatballs,10
1409,The_Geeks,34
3090,The_Gloss,1
1223,the_HIATUS,1
1544,The_Hollow_Jan,10
4774,The_hoppers,2
1447,The_Hunger_Tree,3
2275,The_International_Goat_Breeders,1
5224,The_Jaxx,4
2430,The_Kitsches,28
8,The_Koxx,24
1254,The_Lake,8
1508,The_Magicians,3
4677,The_Muffs,1
2415,The_Nadds-A-Go-Go,2
2988,The_Pluto,1
2784,THE_POLYTUNES,6
1837,THE_PRIMAL,1
2077,The_Q,1
424,The_QL17,5
400,THE_QUIETT,7
448,The_Rob,1
1717,The_Rub,8
5353,the_ssage,4
2280,The_Total_assholes,1
5068,The_True_Story_of_End,1
2066,The_Vale,11
2212,The_venus,2
2621,the_WADE_웨이드,34
830,the_Waves,3
2263,The_Whale_Summer,1
2444,The_White_Dandelion,1
3013,The_끌림,1
2860,The_메아리,1
2310,Theatre_Poeme_Electronique,1
2290,Thee_Oops,5
4029,TheFakePlace,1
2423,Things_We_Say,11
3190,This_Man,1
2244,Thomas_Shim,1
1803,Thrustache,1
6682,Thursday_Tales,1
2834,Titan_Slang,9
874,TM,1
1777,TO_MY_LAST_BREATH,3
686,TODAY_X_SPOT,4
4563,Tokkaebi,1
5103,Tokyo_Mr_Rain,1
2805,Tommy_6,6
3614,Tommy_Kim_Blues_Band,2
6550,Tommy_Vig,1
5484,tony,1
2431,Total_Assholes,3
4657,Touche_Amore,1
3540,Touristen_Tempo_오스트리아,2
182,Trash_Compactor,1
6273,Trio_Mindpoly,2
678,Trun_For_Our,1
4731,Try_Egg,1
2796,Tschaan,3
5944,tsoii,4
4093,Tsubouchi_Atsushi_and_Zenzai_Kazuya,2
6485,Tsugimatsu_Taisuke,1
2276,Turbo_Torro,2
1147,Turn_For_Our,8
3956,Tweed,1
706,U.M.C,0
1116,UMCUW,1
2342,UNDERGRAPHJPN,1
5045,Unidentified_Noising_Object,2
6463,Unity_Band,1
5419,universal_sigh,1
118,URSULA_looo,1
2285,Us,2
226,Used_Cassettes,30
6422,usemind,1
117,UV,2
6419,various,1
247,Various_Taste,1
1191,VaYu,1
1276,VEE_X_KILLA,1
2865,Vegan_Death,1
792,Ven,3
1150,Vicios_Glare,1
2349,VickeblankaJPN,1
3914,Victor_with_Ki,1
1327,Vital_Sign,1
730,Voice_of_Mind,1
5489,void,1
6719,VRVirtual_Romance눈물,2
5435,VVIN,1
2227,WandJAS,11
124,WandWhale,2
3181,Walking_After_U_워킹_애프터_유,46
3328,war_in_the_bed,11
6195,Warm웜,1
2164,Watersports_워터스포츠,2
5774,WAVE_김용수_Project_Group,2
1351,Way_100Seal.H,7
656,We_Walked_With_Lions,2
5263,Weather_Report_Tribute_Project,3
5285,Whales_Ave,6
3408,White_Reed_Caravan,7
2395,White_Soup,1
5989,WOLF,2
1907,Wolfgang_Schoenecker,1
2447,WON,8
1407,Woody_box,1
2545,WOOMIN,3
3737,Woozy,4
707,Worst_Ambush,0
2842,Wye_Oak,2
4835,Ximzero,1
4452,XOX,12
1629,XYZ,3
5728,Ya!_Voices,1
1368,YB윤도현밴드,7
